station,valid,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar,snowdepth
TPH,2024-03-01 00:00,,,,180.00,20.00,,29.88,,10.00,26.00,CLR,,,,,,,,,,,,,,,,KTPH 010000Z AUTO 18020G26KT 10SM CLR 13/M04 A2988 RMK T01301040 MADISHF,
TPH,2024-03-01 00:05,,,,180.00,22.00,,29.88,,10.00,,CLR,,,,,,,,,,,,,,,,KTPH 010005Z AUTO 18022KT 10SM CLR 13/M03 A2988 RMK T01301030 MADISHF,
TPH,2024-03-01 00:10,,,,170.00,20.00,,29.88,,10.00,28.00,CLR,,,,,,,,,,,,,,,,KTPH 010010Z AUTO 17020G28KT 10SM CLR 12/M03 A2988 RMK T01201030 MADISHF,
TPH,2024-03-01 00:15,,,,180.00,20.00,,29.88,,10.00,27.00,CLR,,,,,,,,,,,,,,,,KTPH 010015Z AUTO 18020G27KT 10SM CLR 12/M03 A2988 RMK T01201030 MADISHF,
TPH,2024-03-01 00:20,,,,170.00,23.00,,29.88,,10.00,29.00,CLR,,,,,,,,,,,,,,,,KTPH 010020Z AUTO 17023G29KT 10SM CLR 12/M03 A2988 RMK T01201030 MADISHF,
TPH,2024-03-01 00:25,,,,180.00,21.00,,29.87,,10.00,26.00,CLR,,,,,,,,,,,,,,,,KTPH 010025Z AUTO 18021G26KT 10SM CLR 12/M03 A2987 RMK T01201030 MADISHF,
TPH,2024-03-01 00:30,,,,180.00,21.00,,29.88,,10.00,27.00,CLR,,,,,,,,,,,,,,,,KTPH 010030Z AUTO 18021G27KT 10SM CLR 12/M03 A2988 RMK T01201030 MADISHF,
TPH,2024-03-01 00:35,,,,180.00,22.00,,29.87,,10.00,27.00,CLR,,,,,,,,,,,,,,,,KTPH 010035Z AUTO 18022G27KT 10SM CLR 12/M03 A2987 RMK T01201030 MADISHF,
TPH,2024-03-01 00:40,,,,180.00,18.00,,29.87,,10.00,,CLR,,,,,,,,,,,,,,,,KTPH 010040Z AUTO 18018KT 10SM CLR 12/M03 A2987 RMK T01201030 MADISHF,
TPH,2024-03-01 00:45,,,,180.00,17.00,,29.87,,10.00,23.00,CLR,,,,,,,,,,,,,,,,KTPH 010045Z AUTO 18017G23KT 10SM CLR 11/M03 A2987 RMK T01101030 MADISHF,
TPH,2024-03-01 00:50,,,,180.00,18.00,,29.87,,10.00,23.00,CLR,,,,,,,,,,,,,,,,KTPH 010050Z AUTO 18018G23KT 10SM CLR 11/M03 A2987 RMK T01101030 MADISHF,
TPH,2024-03-01 00:55,,,,180.00,17.00,,29.87,,10.00,,CLR,,,,,,,,,,,,,,,,KTPH 010055Z AUTO 18017KT 10SM CLR 11/M03 A2987 RMK T01101030 MADISHF,
TPH,2024-03-01 01:00,,,,170.00,17.00,,29.87,,10.00,,CLR,,,,,,,,,,,,,,,,KTPH 010100Z AUTO 17017KT 10SM CLR 11/M03 A2987 RMK T01101030 MADISHF,
TPH,2024-03-01 01:05,,,,170.00,15.00,,29.87,,10.00,,CLR,,,,,,,,,,,,,,,,KTPH 010105Z AUTO 17015KT 10SM CLR 11/M03 A2987 RMK T01101030 MADISHF,
TPH,2024-03-01 01:10,,,,170.00,17.00,,29.87,,10.00,,CLR,,,,,,,,,,,,,,,,KTPH 010110Z AUTO 17017KT 10SM CLR 11/M03 A2987 RMK T01101030 MADISHF,
TPH,2024-03-01 01:15,,,,170.00,16.00,,29.86,,10.00,22.00,CLR,,,,,,,,,,,,,,,,KTPH 010115Z AUTO 17016G22KT 10SM CLR 11/M03 A2986 RMK T01101030 MADISHF,
TPH,2024-03-01 01:20,,,,180.00,17.00,,29.87,,10.00,24.00,CLR,,,,,,,,,,,,,,,,KTPH 010120Z AUTO 18017G24KT 10SM CLR 11/M03 A2987 RMK T01101030 MADISHF,
TPH,2024-03-01 01:25,,,,180.00,14.00,,29.87,,10.00,,CLR,,,,,,,,,,,,,,,,KTPH 010125Z AUTO 18014KT 10SM CLR 11/M03 A2987 RMK T01101030 MADISHF,
TPH,2024-03-01 01:30,,,,170.00,15.00,,29.87,,10.00,,CLR,,,,,,,,,,,,,,,,KTPH 010130Z AUTO 17015KT 10SM CLR 11/M03 A2987 RMK T01101030 MADISHF,
TPH,2024-03-01 01:35,,,,170.00,14.00,,29.87,,10.00,,CLR,,,,,,,,,,,,,,,,KTPH 010135Z AUTO 17014KT 10SM CLR 11/M03 A2987 RMK T01101030 MADISHF,
TPH,2024-03-01 01:40,,,,170.00,17.00,,29.86,,10.00,22.00,CLR,,,,,,,,,,,,,,,,KTPH 010140Z AUTO 17017G22KT 10SM CLR 10/M03 A2986 RMK T01001030 MADISHF,
TPH,2024-03-01 01:45,,,,170.00,15.00,,29.86,,10.00,,FEW,,,,3100.00,,,,,,,,,,,,KTPH 010145Z AUTO 17015KT 10SM FEW031 10/M03 A2986 RMK T01001030 MADISHF,
TPH,2024-03-01 01:50,,,,170.00,11.00,,29.87,,10.00,,SCT,,,,3100.00,,,,,,,,,,,,KTPH 010150Z AUTO 17011KT 10SM SCT031 10/M03 A2987 RMK T01001030 MADISHF,
TPH,2024-03-01 01:55,,,,170.00,11.00,,29.87,,10.00,,BKN,,,,3300.00,,,,,,,,,,,,KTPH 010155Z AUTO 17011KT 10SM BKN033 10/M03 A2987 RMK T01001030 MADISHF,
TPH,2024-03-01 02:00,,,,170.00,11.00,,29.87,,10.00,,BKN,,,,3300.00,,,,,,,,,,,,KTPH 010200Z AUTO 17011KT 10SM BKN033 10/M02 A2987 RMK T01001020 MADISHF,
TPH,2024-03-01 02:05,,,,180.00,10.00,,29.87,,10.00,,BKN,,,,3300.00,,,,,,,,,,,,KTPH 010205Z AUTO 18010KT 10SM BKN033 09/M02 A2987 RMK T00901020 MADISHF,
TPH,2024-03-01 02:10,,,,180.00,11.00,,29.87,,10.00,,BKN,,,,3300.00,,,,,,,,,,,,KTPH 010210Z AUTO 18011KT 10SM BKN033 09/M02 A2987 RMK T00901020 MADISHF,
TPH,2024-03-01 02:20,,,,190.00,8.00,,29.87,,10.00,,BKN,,,,3200.00,,,,,,,,,,,,KTPH 010220Z AUTO 19008KT 10SM BKN032 09/M02 A2987 RMK T00901020 MADISHF,
TPH,2024-03-01 02:25,,,,180.00,11.00,,29.87,,10.00,,SCT,,,,3200.00,,,,,,,,,,,,KTPH 010225Z AUTO 18011KT 10SM SCT032 09/M02 A2987 RMK T00901020 MADISHF,
TPH,2024-03-01 02:30,,,,180.00,11.00,,29.87,,10.00,18.00,FEW,,,,3000.00,,,,,,,,,,,,KTPH 010230Z AUTO 18011G18KT 10SM FEW030 09/M02 A2987 RMK T00901020 MADISHF,
TPH,2024-03-01 02:35,,,,180.00,11.00,,29.87,,10.00,,FEW,,,,3000.00,,,,,,,,,,,,KTPH 010235Z AUTO 18011KT 10SM FEW030 09/M02 A2987 RMK T00901020 MADISHF,
TPH,2024-03-01 02:40,,,,180.00,10.00,,29.87,,10.00,,FEW,,,,3200.00,,,,,,,,,,,,KTPH 010240Z AUTO 18010KT 10SM FEW032 09/M02 A2987 RMK T00901020 MADISHF,
TPH,2024-03-01 02:45,,,,190.00,7.00,,29.87,,10.00,,FEW,,,,3200.00,,,,,,,,,,,,KTPH 010245Z AUTO 19007KT 10SM FEW032 08/M02 A2987 RMK T00801020 MADISHF,
TPH,2024-03-01 02:50,,,,200.00,11.00,,29.87,,10.00,,CLR,,,,,,,,,,,,,,,,KTPH 010250Z AUTO 20011KT 10SM CLR 08/M02 A2987 RMK T00801020 MADISHF,
TPH,2024-03-01 02:55,,,,180.00,10.00,,29.87,,10.00,,CLR,,,,,,,,,,,,,,,,KTPH 010255Z AUTO 18010KT 10SM CLR 08/M02 A2987 RMK T00801020 MADISHF,
TPH,2024-03-01 03:00,,,,190.00,15.00,,29.87,,10.00,,CLR,,,,,,,,,,,,,,,,KTPH 010300Z AUTO 19015KT 10SM CLR 08/M02 A2987 RMK T00801020 MADISHF,
TPH,2024-03-01 03:05,,,,190.00,13.00,,29.86,,10.00,,CLR,,,,,,,,,,,,,,,,KTPH 010305Z AUTO 19013KT 10SM CLR 08/M02 A2986 RMK T00801020 MADISHF,
TPH,2024-03-01 03:10,,,,180.00,11.00,,29.86,,10.00,21.00,CLR,,,,,,,,,,,,,,,,KTPH 010310Z AUTO 18011G21KT 10SM CLR 08/M02 A2986 RMK T00801020 MADISHF,
TPH,2024-03-01 03:15,,,,200.00,15.00,,29.86,,10.00,,CLR,,,,,,,,,,,,,,,,KTPH 010315Z AUTO 20015KT 10SM CLR 08/M01 A2986 RMK T00801010 MADISHF,
TPH,2024-03-01 03:20,,,,180.00,15.00,,29.86,,10.00,22.00,CLR,,,,,,,,,,,,,,,,KTPH 010320Z AUTO 18015G22KT 10SM CLR 08/M01 A2986 RMK T00801010 MADISHF,
TPH,2024-03-01 03:25,,,,190.00,14.00,,29.86,,10.00,19.00,CLR,,,,,,,,,,,,,,,,KTPH 010325Z AUTO 19014G19KT 10SM CLR 08/M01 A2986 RMK T00801010 MADISHF,
TPH,2024-03-01 03:30,,,,190.00,11.00,,29.86,,10.00,,CLR,,,,,,,,,,,,,,,,KTPH 010330Z AUTO 19011KT 10SM CLR 08/M01 A2986 RMK T00801010 MADISHF,
TPH,2024-03-01 03:35,,,,190.00,13.00,,29.86,,10.00,,CLR,,,,,,,,,,,,,,,,KTPH 010335Z AUTO 19013KT 10SM CLR 08/M01 A2986 RMK T00801010 MADISHF,
TPH,2024-03-01 03:40,,,,190.00,13.00,,29.86,,10.00,,CLR,,,,,,,,,,,,,,,,KTPH 010340Z AUTO 19013KT 10SM CLR 07/M01 A2986 RMK T00701010 MADISHF,
TPH,2024-03-01 03:45,,,,190.00,11.00,,29.86,,10.00,,CLR,,,,,,,,,,,,,,,,KTPH 010345Z AUTO 19011KT 10SM CLR 07/M01 A2986 RMK T00701010 MADISHF,
TPH,2024-03-01 03:50,,,,190.00,13.00,,29.86,,10.00,,CLR,,,,,,,,,,,,,,,,KTPH 010350Z AUTO 19013KT 10SM CLR 07/M01 A2986 RMK T00701010 MADISHF,
TPH,2024-03-01 03:55,,,,190.00,13.00,,29.86,,10.00,,CLR,,,,,,,,,,,,,,,,KTPH 010355Z AUTO 19013KT 10SM CLR 07/M01 A2986 RMK T00701010 MADISHF,
TPH,2024-03-01 04:00,,,,190.00,11.00,,29.86,,10.00,,CLR,,,,,,,,,,,,,,,,KTPH 010400Z AUTO 19011KT 10SM CLR 07/M01 A2986 RMK T00701010 MADISHF,
TPH,2024-03-01 04:05,,,,190.00,14.00,,29.86,,10.00,19.00,CLR,,,,,,,,,,,,,,,,KTPH 010405Z AUTO 19014G19KT 10SM CLR 07/M01 A2986 RMK T00701010 MADISHF,
TPH,2024-03-01 04:10,,,,190.00,11.00,,29.86,,10.00,,CLR,,,,,,,,,,,,,,,,KTPH 010410Z AUTO 19011KT 10SM CLR 07/M01 A2986 RMK T00701010 MADISHF,
TPH,2024-03-01 04:15,,,,190.00,13.00,,29.86,,10.00,,CLR,,,,,,,,,,,,,,,,KTPH 010415Z AUTO 19013KT 10SM CLR 07/M01 A2986 RMK T00701010 MADISHF,
TPH,2024-03-01 04:20,,,,190.00,13.00,,29.86,,10.00,,CLR,,,,,,,,,,,,,,,,KTPH 010420Z AUTO 19013KT 10SM CLR 07/M01 A2986 RMK T00701010 MADISHF,
